('Engels', 51.5013775, 46.1233093)
('Ryazan', 54.6295687, 39.7425039)
('Nyagan', 62.1445646, 65.4349289)
('Surgut', 61.254032, 73.3964)
('Salavat', 53.361687, 55.924641)
('Staraya Kupavna', 55.8070323, 38.1774172)
('Lytkarino', 55.578138, 37.90238427164106)
('Penza', 53.200001, 45.0)
('Vologda', 60.0391461, 43.1215213)
('Almetyevsk', 54.9005008, 52.2963777)
('Kostroma', 57.79648535, 40.96933053522937)
('Kingisepp', 59.3743982, 28.5981591)
('Cherkessk', 44.22538305, 42.06819662981461)
('Serpukhov', 54.9155247, 37.4195533)
('Zvenigorod', 55.7293613, 36.8585382)
('Vyborg', 60.732672300000004, 28.74469092882248)
('Taganrog', 47.2392184, 38.87550310009352)
('Barnaul', 53.3475493, 83.7788448)
('Novomoskovsk', 48.6358512, 35.2595541)
('Kaspiysk', 42.8881414, 47.6424676)
('Usinsk', 65.995731, 57.5571267)
('Kstovo', 56.149551, 44.198032)
('Kolchugino', 54.665443, 86.166115)
('Vladimir', 56.1288899, 40.4075203)
('Pskov', 57.8173923, 28.3343465)
('Petrozavodsk', 61.7900426, 34.390007)
('Lyubertsy', 55.6783142, 37.89377)
('Malakhovka', 55.6452616, 38.0042385)
('Volzhskiy', 48.782102, 44.7779843)
('Belgorod', 50.5955595, 36.5873394)
('Zhukovskiy', 57.4226752, 28.317785591383842)
('Novorossiysk', 44.7239578, 37.7690711)
('Ust-Ilimsk', 57.959473, 102.734192)
('Vyazniki', 56.24514, 42.137577)
('Berdsk', 54.75795, 83.1068095)
('Voskresensk', 55.322518, 38.6816824)
('Slavyansk-na-Kubani', 45.2590875, 38.1244609)
('Polevskoy', 56.442108, 60.165859)
('Severomorsk', 69.069168, 33.416656)
('Maykop', 44.6062079, 40.104053)
('Tosno', 59.5412777, 30.8773645)
('Yoshkar-Ola', 56.6477914, 47.881715511024034)
('Bor', 56.3598289, 44.0542641)
('Sibay', 52.720425, 58.665466)
('Labytnangi', 66.6615094, 66.3810869)
('Klimovsk', 61.2530601, 53.8069793)
('Yegoryevsk', 55.3829765, 39.0356223)
('Blagoveshchensk', 50.290527, 127.527161)
('Fryazino', 55.954618, 38.0567691)
('Nizhny Tagil', 57.905149, 59.9508466)
('Gelendzhik', 44.5609447, 38.0766832)
('Khotkovo', 56.2541234, 37.9908107)
('Chekhov', 55.1426603, 37.4545328)
('Kizilyurt', 43.1999049, 46.8713343)
('Vsevolozhsk', 60.024006, 30.646042)
('Prokopyevsk', 53.890972, 86.737663)
('Magnitogorsk', 53.42568665, 59.050732193093054)
('Mezhdurechensk', 53.6863763, 88.0703443)
('Shlisselburg', 59.940431, 31.0336955)
('Polysayevo', 54.603142, 86.276024)
('Kotlas', 61.252151, 46.647629)
('Bryansk', 53.27896405, 34.36589361201107)
('Dimitrovgrad', 54.2188995, 49.6038982)
('Nefteyugansk', 61.0962043, 72.6111908351568)
('Kimry', 56.8734395, 37.3556968)
('Krasnoznamensk', 55.59225895, 37.0560380034087)
('Asbest', 57.0052746, 61.4580765)
('Novoaltaysk', 53.393341, 83.939407)
('Angarsk', 52.5311117, 103.8826109)
('Beloretsk', 53.9680705, 58.4099549)
('Pavlovsky Posad', 55.7813357, 38.6507838)
('Semender', 42.989288, 47.397411)
('Uchaly', 54.316597, 59.384636)
('Noginsk', 55.8553511, 38.4411898)
('Kirishi', 59.450325, 32.010578)
('Glazov', 58.1401196, 52.6464388)
('Arkhangelsk', 64.543022, 40.537121)
("Ul'yanovka", 45.0013068, 34.6569066)
('Kirovsk', 59.8813954, 30.9855331)
('Korenovsk', 45.4635863, 39.4487565)
('Syktyvkar', 61.6685237, 50.8352024)
('Novokuznetsk', 53.7575903, 87.1358494)
('Stary Oskol', 51.298038, 37.833202)
('53425', 51.09470408333333, 17.003197433333334)
('Chernogolovka', 56.0061165, 38.3835224)
('Aprelevka', 55.5454306, 37.0730417)
('Artyom', 43.3570377, 132.1853629)
('Novotroitsk', 51.196369, 58.298527)
('Alexandrov', 56.3962287, 38.7111103)
('Rodniki', 57.105225, 41.72839)
('Novotitarovskaya', 45.2360889, 38.9712606)
('Leninsk-Kuznetskiy', 54.6313518, 86.0817655)
('Khasavyurt', 43.246916, 46.5855184)
('Shadrinsk', 56.087364, 63.629482)
('Mirny', 62.541077, 113.978584)
('Lukhovitsy', 54.9655573, 39.0277188)
('Neryungri', 56.6579435, 124.7123042)
('Gus-Khrustalny', 55.6149968, 40.6708665)
('Gorno-Altaysk', 51.92989145, 85.97886806711134)
('Svetogorsk', 61.1112542, 28.8701036)
('Sosnovy Bor', 59.8968655, 29.0765628)
('Pervouralsk', 56.9051246, 59.9431941)
('Nakhodka', 42.8246489, 132.8926)
('Miass', 55.065304, 60.108337)
('Serov', 59.6051267, 60.5733483)
('Orekhovo-Zuyevo', 55.8083278, 38.9790038)
('Pavlovo', 55.965137, 43.071114)
('Kumertau', 52.760975, 55.796482)
('Yakutsk', 62.0274078, 129.7319787)
('Dzerzhinsk', 56.2382157, 43.4617405)
('Kizlyar', 43.8546727, 46.7139329)
('Kommunar', 59.6221955, 30.3919223)
('Nevinnomyssk', 44.6245814, 41.9475941)
('Kineshma', 57.441310400000006, 42.157962718212524)
('Zheleznogorsk', 56.250938, 93.53286)
('Derbent', 42.057858, 48.2887648)
('Buynaksk', 42.8260906, 47.1219624)
('Volgodonsk', 47.5412272, 42.22788957160185)
('Pyt-Yakh', 60.755116, 72.839981)
('Хомутово', 52.854115, 37.446629)
('Nadym', 65.532, 72.52)
('Pereslavl-Zalessky', 56.7367178, 38.8462714)
('Armavir', 44.9993585, 41.1294061)
('Tarko-Sale', 64.9219991, 77.779459)
('Lesnoy Gorodok', 51.7332, 113.067932)
('Kamyshin', 50.06525345, 45.38448996871145)
('Uzlovaya', 53.978512, 38.160255)
('Yurga', 55.7136, 84.934799)
('Sosnovoborsk', 56.121494, 93.33873)
('Salekhard', 66.5375387, 66.6157469)
('Bataysk', 47.138527, 39.742348)
('Novocheboksarsk', 56.1140023, 47.4870341)
('Volkhov', 59.9275868, 32.3276803)
('Volokolamsk', 56.0360129, 35.9583358)
('Snezhinsk', 56.087009, 60.732674)
('Ussuriysk', 43.7972447, 131.9520752)
('Mozhaysk', 55.4941907, 36.0326381)
('Zlatoust', 55.03463945, 59.529269431190286)
('Berezniki', 59.4084171, 56.8036958)
('Velikiye Luki', 56.33207455, 30.55079895865873)
('Kinel', 53.219738, 50.633228)
('Konakovo', 56.7131572, 36.7775654)
('Tobolsk', 58.210710750000004, 68.36961038981468)
('Kashira', 54.837449, 38.1505119)
('Lysva', 58.105056, 57.8028461)
('Nikolskoye', 59.7034799, 30.7861084)
('Shakhovskaya', 56.031464, 35.5102036)
('Kurchatov', 51.659466, 35.658863)
('Kiselyovsk', 54.0049872, 86.6354771)
('Losino-Petrovsky', 55.923440850000006, 38.17351806308734)
('Nizhnevartovsk', 60.9391866, 76.55117870683605)
('Achinsk', 56.2694846, 90.4953964)
('Balakovo', 52.01812, 47.819141)
('Tuapse', 44.0984747, 39.0718875)
('Apatity', 67.568626, 33.404392)
('Khanty-Mansiysk', 61.0034448, 69.0190006)
('Pechora', 65.1155035, 57.1616254)
('Orsk', 51.2305015, 58.4738015)
('Bratsk', 56.1517085, 101.6334907)
